epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,119.2,0.49959,1.36308,0.94363,0.91141,0.92193,0.98738,0.8132,0.63161,1.38396,1.15378,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
50,121.431,0.54114,1.26152,0.91848,0.87129,0.93358,0.995,0.82199,0.62606,1.37211,1.14503,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249
51,123.601,0.5458,1.25791,0.92005,0.89511,0.92025,0.995,0.81943,0.62865,1.34705,1.14877,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806
52,125.718,0.57754,1.45119,1.00481,0.89154,0.92162,0.995,0.83279,0.64053,1.32381,1.15498,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122
53,127.873,0.47358,1.27485,0.94787,0.88661,0.91816,0.995,0.83079,0.64637,1.28256,1.15328,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
54,130.152,0.51525,1.22309,0.91632,0.89337,0.92153,0.995,0.83513,0.64108,1.27964,1.15025,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755
55,132.428,0.51937,1.20323,0.93387,0.88876,0.9231,0.995,0.83944,0.64271,1.27635,1.15795,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071
56,134.661,0.58533,1.33859,0.91877,0.86492,0.93627,0.995,0.84075,0.63749,1.24876,1.15071,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387
57,136.676,0.50247,1.15615,0.94212,0.8613,0.93684,0.995,0.84075,0.63002,1.2542,1.15278,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
58,138.768,0.44086,1.27973,0.92797,0.87838,0.92808,0.995,0.84297,0.61947,1.24726,1.1498,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019
59,140.885,0.48144,1.17166,0.93732,0.89447,0.92776,0.995,0.83453,0.61498,1.23774,1.14575,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335
60,142.952,0.47937,1.106,0.88415,0.91375,0.92526,0.995,0.83453,0.61272,1.22717,1.14587,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651
61,145.139,0.51205,1.19099,0.90467,0.91288,0.92714,0.995,0.84942,0.61628,1.21294,1.15963,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
62,147.27,0.49469,1.1736,0.91314,0.90652,0.92395,0.995,0.84942,0.61651,1.19423,1.16359,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284
63,149.494,0.51435,1.13265,0.94741,0.91613,0.91676,0.995,0.85492,0.60409,1.18817,1.1537,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326
64,151.652,0.45203,1.07172,0.87877,0.91084,0.91335,0.995,0.85492,0.60127,1.17218,1.14668,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916
65,153.827,0.47785,1.07001,0.91309,0.91432,0.91274,0.995,0.85719,0.59993,1.15931,1.14123,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
66,155.936,0.47991,1.12325,0.88928,0.91872,0.90147,0.995,0.84933,0.59878,1.14336,1.1394,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548
67,158.042,0.49171,1.22835,0.89166,0.94155,0.88683,0.995,0.84933,0.59747,1.13006,1.13747,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864
68,160.29,0.42527,1.07858,0.95242,0.93912,0.88907,0.995,0.86283,0.5943,1.12207,1.1298,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418
69,162.405,0.47968,1.10014,0.95531,0.9342,0.89736,0.995,0.86543,0.5925,1.11183,1.12839,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
70,164.515,0.47387,1.10915,0.88747,0.9355,0.89393,0.995,0.85845,0.59416,1.10974,1.12829,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813
71,179.903,0.44062,1.43067,0.85342,0.93268,0.89617,0.995,0.86378,0.59091,1.10325,1.12841,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129
72,181.935,0.40863,1.45077,0.89244,0.93474,0.88917,0.995,0.85568,0.58879,1.10907,1.13128,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445
73,183.952,0.40017,1.49938,0.87171,0.93465,0.88699,0.995,0.86021,0.57791,1.12795,1.12252,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
74,186.041,0.42744,1.56591,0.82171,0.93084,0.88958,0.995,0.86055,0.5802,1.1488,1.1247,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077
75,187.994,0.37715,1.37768,0.79386,0.95342,0.87441,0.995,0.84751,0.58278,1.16357,1.1271,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393
76,190.325,0.41061,1.46063,0.85314,0.94951,0.87266,0.995,0.8555,0.58336,1.17471,1.13076,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709
77,192.436,0.416,1.46655,0.88063,0.94711,0.87311,0.995,0.8555,0.58319,1.17993,1.13461,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
78,194.672,0.38084,1.44234,0.83732,0.95078,0.87267,0.995,0.8555,0.58302,1.17349,1.13379,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05
79,196.728,0.45295,1.38327,0.89025,0.9497,0.87253,0.995,0.86211,0.57823,1.17745,1.12979,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05
80,198.096,0.38543,1.31583,0.84722,0.95183,0.8703,0.995,0.86211,0.57865,1.17708,1.13065,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05
