epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.42025,1.82456,3.50686,1.89962,0.00333,1,0.24786,0.09311,1.65154,3.28667,2.86291,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05,0.00012861,4.287e-05
2,11.0519,1.85465,3.87943,2.15458,0.00335,1,0.21512,0.07577,1.64254,3.30428,2.83019,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05,0.000296376,9.87921e-05
3,13.8995,2.00018,3.66961,2.1142,0.00337,1,0.26199,0.08318,1.63294,3.32248,2.7744,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533,0.000459899,0.0001533
4,17.015,1.94179,3.58905,1.93823,0.00338,1,0.24916,0.093,1.63913,3.29092,2.69918,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392,0.000619177,0.000206392
5,19.4488,1.86311,3.53029,1.93632,0.00339,1,0.20903,0.07653,1.6433,3.27183,2.65821,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807,0.000774211,0.00025807
6,21.7833,1.87358,3.48633,1.83746,0.0034,1,0.18088,0.06822,1.63531,3.27276,2.63938,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334,0.000925001,0.000308334
7,24.5539,1.89189,3.56776,1.98265,0.00342,1,0.13822,0.05571,1.54945,3.27773,2.49648,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182,0.00107155,0.000357182
8,27.0481,1.79164,3.50922,1.81602,0.00342,1,0.16377,0.06877,1.48659,3.23623,2.46229,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616,0.00121385,0.000404616
9,29.4038,1.71098,3.39707,1.72219,0.00342,1,0.1425,0.06503,1.45066,3.23715,2.39537,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635,0.00135191,0.000450635
10,31.7777,1.59353,3.4886,1.62545,0.00344,1,0.10436,0.04769,1.38814,3.19207,2.31949,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524,0.00148572,0.00049524
11,34.1786,1.53574,3.55013,1.65106,0.00344,1,0.1179,0.05333,1.3588,3.19492,2.19915,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429,0.00161529,0.000538429
12,36.6508,1.3336,3.56895,1.50751,0.00345,1,0.11463,0.05989,1.26332,3.18046,2.09401,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204,0.00174061,0.000580204
13,40.1269,1.3189,3.29037,1.36607,0.00353,1,0.19081,0.09235,1.08199,3.12807,1.83781,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565,0.00186169,0.000620565
14,42.3358,1.07278,3.19354,1.29056,0.00358,1,0.16116,0.07838,1.05025,3.10817,1.75779,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951,0.00197853,0.00065951
15,44.8251,1.23299,3.16616,1.32041,0.00358,1,0.20672,0.11084,0.8996,3.10313,1.67137,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041,0.00209112,0.000697041
16,46.9583,1.08225,3.03371,1.25662,0.00355,1,0.22027,0.1133,0.84016,3.09385,1.63303,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157,0.00219947,0.000733157
17,49.0678,1.06567,3.05799,1.22225,0.00353,1,0.17838,0.11098,0.84391,3.0767,1.656,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859,0.00230358,0.000767859
18,51.4607,1.0288,3.00635,1.20261,0.00357,1,0.20653,0.12935,0.83273,3.06216,1.58365,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146,0.00240344,0.000801146
19,53.512,0.94579,3.02251,1.27202,0.00359,1,0.21976,0.14348,0.79531,3.055,1.52448,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018,0.00249905,0.000833018
20,55.7721,0.92866,2.98257,1.15275,0.00359,1,0.25105,0.14645,0.7768,3.0254,1.47542,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475,0.00259043,0.000863475
21,58.2029,0.92872,2.84565,1.22524,0.00362,1,0.23944,0.17485,0.73339,2.96796,1.37975,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518,0.00267755,0.000892518
22,60.4078,0.73479,2.7526,1.08908,0.49339,0.05335,0.30821,0.23021,0.70815,2.90623,1.32855,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146,0.00276044,0.000920146
23,62.617,0.78843,2.77918,1.11433,0.47208,0.04625,0.32231,0.23801,0.64874,2.84619,1.27153,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359,0.00283908,0.000946359
24,64.6916,0.76927,2.633,1.06118,0.53082,0.11111,0.36317,0.27895,0.63439,2.77943,1.23522,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157,0.00291347,0.000971157
25,66.8165,0.73814,2.51796,1.02101,0.49585,0.11111,0.38546,0.30366,0.64645,2.68539,1.25123,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541,0.00298362,0.000994541
26,68.8828,0.72208,2.49626,1.0282,0.38934,0.35394,0.47417,0.3892,0.6413,2.56434,1.24186,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903
27,71.1268,0.73581,2.40157,0.95758,0.34101,0.37612,0.44319,0.3588,0.64432,2.43303,1.21517,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
28,73.1768,0.62528,2.21107,0.99175,0.35508,0.41038,0.56942,0.47112,0.64208,2.27942,1.18877,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535
29,75.312,0.67546,2.11836,1.01181,0.3332,0.5065,0.58998,0.4916,0.62775,2.14954,1.18168,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
30,77.4385,0.61725,2.12115,0.97343,0.3456,0.62775,0.59462,0.48961,0.65149,2.07441,1.19098,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168
31,79.531,0.73697,2.15079,1.04715,0.38724,0.75745,0.59053,0.47945,0.66901,1.976,1.192,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
32,81.6263,0.66241,2.06407,0.98657,0.33441,0.72222,0.5812,0.46632,0.66313,2.05769,1.22496,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808
33,83.816,0.66652,1.99063,1.01856,0.3693,0.7614,0.5965,0.45969,0.67073,1.98438,1.23589,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
34,86.1117,0.58267,1.72478,0.95505,0.36689,0.72222,0.59163,0.45505,0.66442,1.94201,1.2159,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432
35,88.2373,0.54758,1.77025,0.97771,0.38446,0.71607,0.59824,0.46605,0.65104,1.87243,1.19141,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
36,90.4676,0.64188,1.82977,0.99014,0.40138,0.69351,0.61583,0.48159,0.62375,1.81694,1.15817,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064
37,92.6693,0.54147,1.74062,0.95656,0.47091,0.6142,0.63549,0.5064,0.61902,1.74359,1.14604,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
38,94.9344,0.58007,1.75377,0.94105,0.5615,0.70116,0.73288,0.62387,0.59945,1.65924,1.11943,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697
39,97.2036,0.52109,1.73653,0.93096,0.58794,0.75327,0.79547,0.66307,0.6196,1.60672,1.13216,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
40,99.5015,0.52865,1.64056,0.94559,0.61859,0.8253,0.82026,0.66601,0.6108,1.55422,1.1334,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329
41,101.646,0.58408,1.56282,0.93508,0.60244,0.83283,0.86802,0.7139,0.60191,1.52134,1.13453,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
42,103.804,0.52597,1.57853,0.91895,0.60287,0.92465,0.87087,0.71486,0.60854,1.49789,1.13976,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961
43,106.03,0.51801,1.5084,0.91276,0.74862,0.83087,0.90198,0.73332,0.61142,1.50227,1.14093,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
44,108.268,0.57074,1.4579,0.95517,0.74549,0.94444,0.92484,0.76222,0.62194,1.48551,1.14271,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593
45,110.404,0.51232,1.49777,0.94725,0.77402,0.83323,0.94103,0.77714,0.61302,1.50121,1.1255,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
46,112.619,0.56116,1.37076,0.93459,0.81034,0.79433,0.94346,0.77896,0.63777,1.45619,1.14833,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226
47,114.919,0.52106,1.50412,0.94584,0.87549,0.83091,0.96422,0.78351,0.63761,1.4367,1.15284,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
48,117.007,0.46133,1.27392,0.93115,0.91881,0.88884,0.98167,0.82082,0.63158,1.41629,1.1529,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858
