epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,110.199,0.61855,2.0677,1.02605,1,0.32128,0.85885,0.56202,0.71323,2.31664,1.38529,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168
31,111.981,0.61181,2.0631,1.02147,0.81659,0.875,0.95475,0.67122,0.73715,2.05451,1.40965,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
32,113.831,0.66485,1.91633,0.97703,0.89211,0.875,0.98167,0.78082,0.69213,1.94995,1.25861,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808
33,115.63,0.5718,1.79798,0.98538,0.96304,1,0.995,0.80221,0.62209,1.92779,1.23481,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
34,117.551,0.54662,1.69911,0.94873,0.96905,1,0.995,0.80379,0.62658,1.94466,1.24441,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432
35,119.394,0.62523,1.75616,1.05543,0.96013,1,0.995,0.84874,0.60635,1.90782,1.23728,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748,0.00248324,0.000827748
36,121.287,0.57112,1.71691,0.96494,0.96287,1,0.995,0.85798,0.5943,1.85931,1.21834,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064,0.00243019,0.000810064
37,123.123,0.55377,1.66511,0.96256,0.91816,1,0.995,0.85797,0.59514,1.83592,1.2325,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
38,124.911,0.52923,1.58628,0.94713,0.95597,1,0.995,0.87467,0.58254,1.82617,1.21424,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697,0.00232409,0.000774697
39,126.708,0.52631,1.47544,0.9387,0.97191,1,0.995,0.86536,0.59559,1.77855,1.22169,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013,0.00227104,0.000757013
40,128.537,0.56383,1.45877,0.93494,0.96509,1,0.995,0.84928,0.61017,1.79232,1.22748,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329,0.00221799,0.000739329
41,130.272,0.47805,1.38873,0.90048,0.97119,1,0.995,0.80616,0.61574,1.74592,1.25152,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
42,132.064,0.5467,1.35395,0.8981,0.97565,1,0.995,0.79766,0.61462,1.72258,1.26623,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961,0.00211188,0.000703961
43,133.961,0.53979,1.3357,0.94732,0.97856,1,0.995,0.79567,0.61926,1.6673,1.2733,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277,0.00205883,0.000686277
44,135.827,0.53963,1.3944,0.94309,0.98522,1,0.995,0.80007,0.63678,1.62302,1.29698,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593,0.00200578,0.000668593
45,137.864,0.53495,1.35311,0.98185,0.98808,1,0.995,0.79143,0.61539,1.59731,1.25571,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
46,139.668,0.52659,1.27736,0.95503,0.87049,1,0.98167,0.80222,0.61882,1.64774,1.27295,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226,0.00189968,0.000633226
47,141.478,0.553,1.33577,0.94112,1,0.98541,0.995,0.81917,0.6161,1.64148,1.27568,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542,0.00184663,0.000615542
48,143.317,0.54988,1.2622,0.95313,0.98954,1,0.995,0.86378,0.63162,1.58793,1.28238,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858,0.00179357,0.000597858
49,145.183,0.5174,1.1903,0.95932,0.99031,1,0.995,0.8227,0.62324,1.58692,1.27337,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
50,146.993,0.55965,1.17684,0.92603,0.98932,1,0.995,0.82616,0.63487,1.56085,1.27154,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249,0.00168747,0.00056249
51,148.842,0.48066,1.15474,0.90587,0.98915,1,0.995,0.80908,0.65575,1.50414,1.31753,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806,0.00163442,0.000544806
52,150.737,0.54497,1.17534,0.92847,0.9884,1,0.995,0.80473,0.63173,1.42936,1.26291,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122,0.00158137,0.000527122
53,152.59,0.49848,1.13903,0.93581,0.98836,1,0.995,0.82852,0.61489,1.41716,1.2322,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
54,154.518,0.5083,1.10537,0.9313,0.9882,1,0.995,0.83336,0.60854,1.3886,1.23167,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755,0.00147526,0.000491755
55,156.285,0.51038,1.07086,0.94023,0.98878,1,0.995,0.83335,0.60297,1.35319,1.22409,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071,0.00142221,0.000474071
56,158.177,0.50691,1.10927,0.93276,0.98874,1,0.995,0.84705,0.60262,1.34062,1.21235,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387,0.00136916,0.000456387
57,160.054,0.4411,1.09157,0.9189,0.98994,1,0.995,0.88064,0.59568,1.30814,1.21201,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
58,162,0.46694,1.15262,0.91741,0.99051,1,0.995,0.88064,0.59429,1.29145,1.21003,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019,0.00126306,0.000421019
59,163.954,0.50808,1.0799,0.95497,0.99058,1,0.995,0.86518,0.59469,1.27459,1.20577,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335,0.00121001,0.000403335
60,165.801,0.52215,1.04692,0.93644,0.9899,1,0.995,0.85993,0.60539,1.24482,1.21548,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651,0.00115695,0.000385651
61,167.707,0.47851,1.11326,0.95027,0.99018,1,0.995,0.8533,0.61151,1.20909,1.22155,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
62,169.673,0.48953,1.04072,0.91102,0.99106,1,0.995,0.87164,0.60437,1.19904,1.23149,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284,0.00105085,0.000350284
63,171.489,0.48903,1.06229,0.9195,0.99138,1,0.995,0.85548,0.59112,1.17255,1.22153,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326,0.000997799,0.0003326
64,173.307,0.43898,0.9969,0.88844,0.99161,1,0.995,0.87056,0.59304,1.16752,1.2273,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916,0.000944748,0.000314916
65,175.259,0.51943,1.01921,0.91728,0.99186,1,0.995,0.87056,0.58961,1.16478,1.23446,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
66,176.995,0.40926,1.00834,0.87599,0.99193,1,0.995,0.86618,0.58913,1.15169,1.22372,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548,0.000838644,0.000279548
67,178.784,0.44605,1.03329,0.93108,0.99213,1,0.995,0.86434,0.59662,1.13451,1.24457,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864,0.000785593,0.000261864
68,180.572,0.47201,1.06164,0.92805,0.99234,1,0.995,0.86434,0.60919,1.11812,1.2542,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418,0.000732541,0.00024418
69,182.373,0.45525,0.99482,0.90903,0.99249,1,0.995,0.86434,0.62101,1.1313,1.25687,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
70,184.343,0.48429,1.05383,0.90278,0.99258,1,0.995,0.8788,0.62799,1.15165,1.27061,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813,0.000626438,0.000208813
71,198.708,0.43364,1.41724,0.9026,0.99297,1,0.995,0.8788,0.63812,1.21474,1.27909,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129,0.000573386,0.000191129
72,200.765,0.45199,1.45666,0.92367,0.99307,1,0.995,0.84568,0.64586,1.23827,1.28904,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445,0.000520335,0.000173445
73,202.532,0.44211,1.46761,0.90324,0.993,1,0.995,0.84978,0.64212,1.23481,1.27938,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
74,204.301,0.41806,1.4119,0.89568,0.9929,1,0.995,0.84978,0.64507,1.2316,1.27769,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077,0.000414231,0.000138077
75,206.202,0.41558,1.41437,0.88649,0.99283,1,0.995,0.84568,0.643,1.1897,1.27682,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393,0.00036118,0.000120393
76,208.169,0.42688,1.42414,0.89592,0.99243,1,0.995,0.84187,0.64321,1.16153,1.2768,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709,0.000308128,0.000102709
77,210.115,0.44571,1.41641,0.92734,0.99206,1,0.995,0.84187,0.6489,1.12984,1.28499,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
78,212.105,0.39294,1.34121,0.87766,0.9917,1,0.995,0.84187,0.65481,1.12447,1.28884,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05,0.000202025,6.73416e-05
79,214.078,0.38502,1.32427,0.8326,0.9918,1,0.995,0.83126,0.65598,1.11972,1.28923,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05,0.000148973,4.96578e-05
80,216.055,0.42535,1.34989,0.91153,0.99193,1,0.995,0.84187,0.65566,1.12208,1.2908,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05,9.59216e-05,3.19739e-05
